indicator,w_entropy,w_critic,w_combined
overspeed_ratio,0.13350636228967272,0.031080350088309543,0.09359414483729181
overspeed_intensity,0.12307275678489624,0.03839466524667546,0.09987830311403574
hard_brake_rate,0.01380672278697026,0.10540930514716716,0.055429316840198146
hard_accel_rate,0.014944904585385516,0.08231382483676297,0.050960973148612344
speed_std,0.003143705994011925,0.14020131858752358,0.030503646464154096
speed_entropy,0.0019398709417455602,0.13076002033123255,0.023140815337160284
acc_rms,0.0038655496992963606,0.10274086910511107,0.02895556185771039
continuous_over4h_ratio,0.26667665788971484,0.01478205338549206,0.09122515989527744
night_ratio,0.08307257991222004,0.17789406174271766,0.1766299405978131
bridge_tunnel_exposure,0.1296919341498248,0.02673634512775629,0.08555832055241544
city_exposure,0.11701611141664744,0.05420689326214134,0.11571904419897902
density_exposure,0.10926284354961427,0.09548029313911048,0.1484047731563524
